L1编码,L3编码,L3名称,L4编码,L4名称,核心交付物,介入类型,是否核心介入点,D1_输入结构化,D2_规则清晰,D3_输出可验,D4_API可达,D5_降级可用,D6_合规可编码,总分,推导Tier,资金安全强制关卡,物理执行类,备注
L1-05,L3-MEI,市场进入策略整合流程,L4-ST-03,策略文档定稿与发布,市场进入策略整合文档（主交付物）+ 关键假设清单,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-MIO,市场洞察与机会识别流程,L4-MA-01,市场调研规划与定性研究,市场调研计划书 + 客户访谈记录与洞察分析,专业审批,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-MIO,市场洞察与机会识别流程,L4-MA-02,定量市场验证与竞争扫描,竞争分析报告 + 市场规模验证报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-MIO,市场洞察与机会识别流程,L4-MA-03,洞察整合与知识管理,客户旅程图+痛点地图 + 市场深度分析报告（主交付物）+ 知识库更新记录,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-OBC,权益方案目标确认与共识达成,L4-OBC-01,项目启动与范围确认,《项目启动与范围确认》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-OBC,权益方案目标确认与共识达成,L4-OBC-02,设置目标,《设置目标》,战略决策/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-OBC,权益方案目标确认与共识达成,L4-OBC-03,方案汇报与决策,终版权益规划方案,战略决策,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-OBC,权益方案目标确认与共识达成,L4-OBC-04,方案移交,终版权益规划方案（移交版）,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-05,L3-RPD,权益包设计与发布,L4-RPD-01,权益包核心构建,权益包使用规则,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-05,L3-RPD,权益包设计与发布,L4-RPD-02,资源与目标规划,权益包使用规则；服务使用规则,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-05,L3-RPD,权益包设计与发布,L4-RPD-04,规则细化与完善,服务使用规则,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-05,L3-RPD,权益包设计与发布,L4-RPD-05,推广营销,权益海报/PPT/宣达文案,创意判断,是,1,1,1,1,0,1,5,Hybrid,,,
L1-05,L3-RPD,权益包设计与发布,L4-RPD-06,系统配置,DIM_Strategy/Config_Strategy_Header/Tiers/Bridge_Strategy_Routing（四张配置表）,无明显判断成分,否,2,2,2,2,1,2,11,Aug,,,阈值修正
L1-05,L3-RSD,权益方案框架设计,L4-RSD-01,权益方案需求分析与框架设计,初版权益规划方案；权益成本测算表；权益测算模型表；权益商务&财务路径图,专业审批/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SLM,权益上市推广,L4-SLM-01,权益定价与成本核算,《定价方案》；内部发布通知,无明显判断成分,否,3,3,3,3,2,2,16,Auto,是,,
L1-05,L3-SLM,权益上市推广,L4-SLM-02,法务与合规审查前置,《合规审查意见书》；触达记录,合规签字,是,3,3,3,3,2,2,16,Auto,,,
L1-05,L3-SLM,权益上市推广,L4-SLM-03,跨部门联动沟通,《联动沟通记录》；《试点报告》,跨部门协调,是,2,2,2,2,2,2,12,Aug,,,
L1-05,L3-SLM,权益上市推广,L4-SLM-04,上市前准备与内部发布,发布数据,异常介入,是,3,2,3,3,2,2,15,Auto,,,
L1-05,L3-SLM,权益上市推广,L4-SLM-05,目标受益方触达与告知,权益上市推广素材,无明显判断成分,否,2,2,2,2,2,2,12,Aug,,,
L1-05,L3-SLM,权益上市推广,L4-SLM-06,首批试点与验证,《试点报告》,合规签字,是,2,2,2,1,1,2,10,Aug,,,阈值修正
L1-05,L3-SLM,权益上市推广,L4-SLM-07,灰度放量与全量发布,发布数据,异常介入,是,2,2,2,2,1,2,11,Aug,,,阈值修正
L1-05,L3-SLM,权益上市推广,L4-SLM-08,上市效果评估与复盘,《上市效果评估》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SOB,服务项寻源与上架,L4-SOB-01,服务寻源,《服务寻源报告》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SOB,服务项寻源与上架,L4-SOB-02,服务设计,《服务设计文档》,创意判断,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SOB,服务项寻源与上架,L4-SOB-03,服务上架,发布通知/上架确认,创意判断,是,1,0,1,0,0,1,3,Human,,,
L1-05,L3-SPD,服务流程配置与培训,L4-SPD-01,服务流程设计,《服务流程设计文档》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SPD,服务流程配置与培训,L4-SPD-02,服务流程培训,内训素材（PPT/文档）,物理执行,是,2,1,2,1,1,1,8,Hybrid,,是,阈值修正
L1-05,L3-SPO,服务跟踪处理与优化,L4-SPO-01,例行服务监控,监控数据/《例行服务监控报告》,无明显判断成分,否,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SPO,服务跟踪处理与优化,L4-SPO-02,服务过程管理,《服务过程管理记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SPO,服务跟踪处理与优化,L4-SPO-03,问题与变更管理,系统问题反馈表,异常介入,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SRE,战略风险评价流程,L4-RM-01,战略风险识别与评估,初步风险清单 + 风险评级矩阵,专业审批/组合拍板,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-SRE,战略风险评价流程,L4-RM-02,风险应对策略制定,风险应对预案集,战略决策,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-SRE,战略风险评价流程,L4-RM-03,风险登记与沟通,正式风险登记册（主交付物）+ 风险沟通记录,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SRM,资源管理与协调,L4-SRM-01,外部资源对接,《外部资源对接》,跨部门协调,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SRM,资源管理与协调,L4-SRM-02,转介渠道管理,《转介渠道管理记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SSD,同行经代服务方案设计,L4-SSD-01,服务方案框架设计,同行经代服务方案（Word/PPT）,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SSD,同行经代服务方案设计,L4-SSD-02,个性化方案编写与评审,《个性化方案》,创意判断,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SSVA,服务结算与价值核算,L4-SSVA-01,服务对账,INVOICE/对账单/激励结算单,无明显判断成分,否,2,2,2,2,1,2,11,Aug,是,,阈值修正
L1-05,L3-SSVA,服务结算与价值核算,L4-SSVA-02,激励结算,INVOICE/对账单/激励结算单,专业审批,是,2,1,2,1,1,1,8,Hybrid,是,,资金安全强制人工关卡;阈值修正
L1-05,L3-SSVA,服务结算与价值核算,L4-SSVA-03,成本测算及预算,《成本测算及预算》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SSVA,服务结算与价值核算,L4-SSVA-04,制定预算计划,《制定预算计划》,专业审批/组合拍板,是,2,1,2,1,1,1,8,Hybrid,,,阈值修正
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-ACTV-01,商考活动服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-BRND-01,品牌营销服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-COCH-01,教练陪跑服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-CONS-01,咨询顾问服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-IMED-01,移民教育服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-STLM-01,结算支持服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRNG-01,课程培训服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRVL-01,机酒车出行服务（服务需求提交）,《服务需求单》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-ACTV-02,商考活动服务（服务处理与执行）,《服务执行记录》,物理执行,是,2,1,1,1,1,1,7,Hybrid,,是,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-BRND-02,品牌营销服务（服务处理与执行）,《服务执行记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-COCH-02,教练陪跑服务（服务处理与执行）,《服务执行记录》,物理执行,是,2,1,1,1,1,1,7,Hybrid,,是,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-CONS-02,咨询顾问服务（服务处理与执行）,《服务执行记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-IMED-02,移民教育服务（服务处理与执行）,《服务执行记录》,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-STLM-02,结算支持服务（服务处理与执行）,《服务执行记录》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRNG-02,课程培训服务（服务处理与执行）,《服务执行记录》,物理执行,是,2,1,1,1,1,1,7,Hybrid,,是,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRVL-02,机酒车出行服务（服务处理与执行）,《服务执行记录》,物理执行,是,2,1,1,1,1,1,7,Hybrid,,是,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-ACTV-03,商考活动服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-BRND-03,品牌营销服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-COCH-03,教练陪跑服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-CONS-03,咨询顾问服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-IMED-03,移民教育服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-STLM-03,结算支持服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRNG-03,课程培训服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-SVC,权益服务执行与支持,L4-SVC-TRVL-03,机酒车出行服务（服务确认与反馈）,《服务确认书》,无明显判断成分,否,2,2,2,2,1,1,10,Aug,,,
L1-05,L3-VPV,价值主张设计与验证流程,L4-VP-01,价值主张创意生成,价值主张创意方案,创意判断,是,1,1,1,1,1,1,6,Hybrid,,,
L1-05,L3-VPV,价值主张设计与验证流程,L4-VP-02,主张验证与优化,结构化价值主张草案 + 可行性评审报告 + 概念测试反馈报告,专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
L1-05,L3-VPV,价值主张设计与验证流程,L4-VP-03,沟通指引与批准,沟通指南与核心信息 + 批准的价值主张文档（主交付物）,合规签字/专业审批,是,2,1,2,1,1,1,8,Hybrid,,,
